FID,Name,Address,City,State,Zipcode,Phone_Number,Email_Address,Minimum Age,geom
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4ab2,ENCLAVE AT ELLICOTT HILLS,2802 NORTH RIDGE RD,ELLIOTT CITY,MD,21043,410-953-0505,,55,POINT (1364255.4462181865 592481.4989111258)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4ab1,HEARTHSTONE AT ELLICOTT MILLS I,4900 WATER GROVE LN,ELLICOTT CITY,MD,21043,,,55,POINT (1369396.0901356088 571066.1002197893)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4ab0,HICKORY CREST,HICKORY CREST LN,COLUMBIA,MD,21044,,,55,POINT (1345940.2377356307 557914.6561140491)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aaf,VILLAS AT CATTAIL CREEK,COUNTRY CLUB DR,GLENWOOD,MD,21738,,,55,POINT (1301334.140267389 585588.0900394468)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aae,LEGACY AT ELLICOTT MEADOWS,3010 HOMELAND WAY,ELLICOTT CITY,MD,21042,866-736-1222,,55,POINT (1340414.7406015082 590794.8760306152)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aad,FAIRWAY OVERLOOK,PEBBLE CREEK DR,ELKRIDGE,MD,21075,,,55,POINT (1380563.2720289743 559719.5152679803)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aac,ROCKBURN WOODS,KOFFEL CT,ELKRIDGE,MD,21075,,,55,POINT (1381379.2193811967 563082.5177874876)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aab,LILAC PARK,LILAC DR,LAUREL,MD,20723,,,55,POINT (1357754.4998283414 529803.1041161059)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aaa,SCOTS GLEN,10700 MCGREGOR DR,COLUMBIA,MD,21044,,,55,POINT (1345056.684989448 557783.2499586946)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa9,ENCLAVE AT ELLICOTT STATION,OLD MILL ROAD & OLD FREDERICK RD,ELLICOTT CITY,MD,21044,443-878-4201,,55,POINT (1353258.5947979144 594852.0776603976)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa8,GATHERINGS AT JEFFERSON PLACE,8801 BOSLEY RD,ELLICOTT CITY,MD,21043,,,55,POINT (1364166.4763490786 578188.0797091328)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa7,COURTYARDS AT THE TIMBERS,BRIARGLEN DR,ELKRIDGE,MD,21075,,,55,POINT (1373879.410612178 562573.5750164913)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa6,COURTYARDS AT WAVERLY WOODS EAST,11058 CHAMBERS CT,WOODSTOCK,MD,21163,410-750-7415,,55,POINT (1342904.1409522959 600594.7315145173)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa5,JONES STATION,JANE GARTH,JESSUP,MD,20794,,,55,POINT (1364912.18433095 540159.0212819446)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa4,GUILFORD MEWS,8821 HUB GARTH,JESSUP,MD,20794,240-456-0466,,55,POINT (1365827.6374578336 540697.2304572477)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa3,COURTYARDS AT WAVERLY WOODS WEST,ADAMS WAY,MARRIOTTSVILLE,MD,21104,,,55,POINT (1339748.6372393626 598786.653056118)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa2,HEARTHSTONE AT ELLICOTT MILLS,8508 DINA LN,ELLICOTT CITY,MD,21043,,,55,POINT (1368096.9544481952 571246.3812703447)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa1,LEGACY AT CHERRY TREE,8460 ICE CRYSTAL DR,LAUREL,MD,20723,301-490-4729,,55,POINT (1339857.8009274495 537289.157675104)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4aa0,SNOWDEN OVERLOOK,8700 ENDLESS OCEAN WAY,COLUMBIA,MD,21045,410-872-9311,,55,POINT (1367307.9321879405 555112.1052371293)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4a9f,CLOISTERS AT VILLAGE CREST,VILLAGE CREST DR,ELLICOTT CITY,MD,21043,410-480-1960,,55,POINT (1371557.999422142 578369.8240799098)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4a9e,GATHERINGS AT LYNWOOD,7305 MARSHALEE DR,ELKRIDGE,MD,21075,888-623-2937,,55,POINT (1379381.4946228547 559846.8241267414)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4a9d,THE GATHERINGS AT ELLICOTT MILLS,ADDERLEY AVE,ELLICOTT CITY,MD,21043,,,55,POINT (1364166.4763490786 578188.0797091328)
Age_Restricted_Homes.fid-e93e948_1509ab168f5_-4a9c,LUTHERAN VILLAGE AT MILLERS GRANT,9531 FREDERICK RD,ELLICOTT CITY,MD,21042,443-351-8813,,60,POINT (1356896.4088539083 585272.5982009635)
