FID,Presubmission_ID,Project_Name,Date_Received,Meeting_Date,Meeting_Time,Meeting_Location_Place,Meeting_Location_Address,Meeting_Location_City,Meeting_Location_Zip,Proposed_Units,Proposed_Acres,Sign_Code,Sign_Year,locationDescription,TaxMap_Parcel,Zoning,Coordinates,geom
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-452e,1536,Goldberg Property  Lots 5&6,2015-10-22,2015-12-07,6:00 pm,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,2,1.37,R28,16,CHESTNUT HILL DR E OPPOSITE SYLVAN HILL CT,[TaxMap 18 Parcel 65],R-20,"(39.2902,-76.7925)",POINT (1371103.2518179268 591280.2654402815)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-452d,1535,Curtis Property,2015-10-22,2015-12-02,6:00 p.m.,Howard County Central Library,10375 Little Patuxent Pkwy,Columbia,21044,,,C06,16,WATERLOO RD AT RICHARDS VALLEY RD,[TaxMap 37 Parcel 751],R-20,"(39.2131,-76.8008)",POINT (1368751.1748661175 563229.5729875881)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-452c,1534,Village Crest Age-Restricted,2015-10-02,2015-10-28,7:00 pm,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,12,38.49,R27,16,SW OF COLLEGE AVE 2400' NW OF BONNIE BRANCH RD,[TaxMap 31 Parcel 4],,"(39.2526,-76.7914)",POINT (1371436.6224537343 577595.2378894687)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-452b,1532,Simpson Property,2015-09-29,2015-10-28,6:30 pm,Dayton Oaks Elementary School,4691 Ten Oaks Road,Dayton,21036,48,99.96,R25,16,GREEN BRIDGE RD,"[TaxMap 27 Parcel 112],[TaxMap 27 Parcel 34],[TaxMap 27 Parcel 36]",,"(39.2308,-77.0006)",POINT (1312128.3288410194 569666.3099412341)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-452a,1533,Taylor Place,2015-10-01,2015-10-28,6:00 pm,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,63,65.6,R26,16,COLLEGE AVE NE OF VILLAGE CREST DR,"[TaxMap 25 Parcel 73],[TaxMap 25 Parcel 74],[TaxMap 25 Parcel 93]","POR,R-A-15","(39.2575,-76.7936)",POINT (1370793.2180873603 579377.8297480773)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4529,1530,"Trotter Woods, Sec II",2015-09-16,2015-10-14,6:00 pm,Fifth District Volunteer Fire Dept.,5000 Signal Bell Lane,Clarksville,21029,9,3.93,R23,16,W SIDE OF TROTTER ROAD 600' N OF CLOVER LANE,[TaxMap 35 Parcel 21],R-20,"(39.2069,-76.9219)",POINT (1334430.3806383498 560981.6294001918)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4528,1531,Walker Meadows,2015-09-17,2015-10-13,6:00 pm,West Friendship Volunteer Fire Dept.,12535 Old Frederick Road,Sykesville,21784,35,100,R24,16,RIVER RD NORTH OF HIGH STEPPER TRL,[TaxMap 9 Parcel 66],RR-DEO,"(39.3427,-76.9409)",POINT (1329060.3177291378 610341.7001623064)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4527,1529,Lisbon Volunteer Fire Company,2015-09-09,2015-10-08,6:00 pm,Lisbon Volunteer Fire Co.,1330 Woodbine Road,Lisbon,21765,0,8.23,N05,16,W SIDE OF MD 94,[TaxMap 7 Parcel 488],RC-DEO,"(39.3375,-77.074)",POINT (1291331.7908125632 608458.2998728286)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4526,1525,Francis Property,2015-08-19,2015-10-08,6:00 pm,Elkridge Volunteer Fire Dept.,6275 Old Washington Blvd.,Elkridge,21075,11,5.2,R21,16,KERGER RD AT SUNNY FIELD CT,[TaxMap 31 Parcel 628],R-20,"(39.2226,-76.776)",POINT (1375780.598851245 566692.5415739324)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4525,1528,Wilson Village,2015-09-02,2015-09-30,6:00 pm,Glenwood Library,2350 Route 97,Cooksville,21723,0,5.85,N04,16,N SIDE OLD FREDERICK RD E OF WOODBINE RD,[TaxMap 7 Parcel 478],B-2,"(39.3478,-77.0661)",POINT (1293563.8022503518 612228.7829241902)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4524,1519,Hinkle Property,2015-08-11,2015-09-24,6:00 pm,Maple Lawn Community Center,7600 Maple Lawn Blvd.,Fulton,20759,10,43.26,R19,16,SCAGGSVILLE RD S OF HALL SHOP RD,[TaxMap 40 Parcel 93],RR-DEO,"(39.1689,-76.9509)",POINT (1326213.9573887847 547162.8203893024)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4523,1527,Holiday Hills,2015-08-25,2015-09-23,6:00 pm,Central Branch Library,10375 Little Patuxent Parkway,Columbia,21044,2,1.003,R22,16,HUNTING LANE EAST OF LONGVIEW,[TaxMap 41 Parcel 174],R-20,"(39.1783,-76.8814)",POINT (1345928.6961847655 550586.3879982736)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4522,1524,Fulton Family Childcare,2015-08-14,2015-09-19,10:00 a.m.,Howard Co. East Columbia Library,6600 Cradlerock Way,Columbia,21045,,,C05,16,PINDELL SCHOOL RD S OF GUILFORD RD,[TaxMap 41 Parcel 155],RR-DEO,"(39.1814,-76.9036)",POINT (1339640.7129625864 551705.6350340489)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4521,1526,Patuxent Engineering,2015-08-20,2015-09-10,6:30 pm,Elkridge Elementary School,7075 Montgomery Road,Elkridge,21075,0,0.37,N03,16,WASHINGTON BLVD AT RAILROAD AVE,"[TaxMap 38 Parcel 589],[TaxMap 38 Parcel 590]",B-1,"(39.2159,-76.7098)",POINT (1394544.231030658 564258.8578790687)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-4520,1518,Merriweather Post Pavilion Renovations,2015-08-11,2015-09-08,6:00 pm,Merriweather Post Pavilion,10475 Little Patuxent Parkway,Columbia,21044,0,10,T01,16,S SIDE LITTLE PATUXENT PKY E OF BROKEN LAND PKY,[TaxMap 36 Parcel 452],NT,"(39.209,-76.8621)",POINT (1351381.8979807943 561754.9605560787)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-451f,1521,Red Lion,2015-08-13,2015-09-08,6:00 pm,Kiwanis-Wallas Hall,3300 Norberts Way,Ellicott City,21042,0,11.927,N02,16,BGE EASEMENT NE OF MT. HEBRON HIGH SCHOOL,[TaxMap 17 Parcel 537],R-20,"(39.3039,-76.8359)",POINT (1358806.1360986866 596261.8681684937)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-451e,1516,St. Andrews Episcopal Church,2015-07-29,2015-08-27,6:00 P.M.,St. Andrews Episcopal Church,2892 Route 97,Glenwood,21738,,10.413,C04,16,RO0UTE 97 S OF UNION CHAPEL RD,[TaxMap 14 Parcel 216],RC-DEO,"(39.2934,-77.0264)",POINT (1304825.6622900367 592436.7929453924)
vPublic_PresubmissionCommunityMeetings.fid-e93e948_1509ab168f5_-451d,1517,Elm Lee Far Lot 1,2015-08-03,2015-08-27,6:00 pm,Lisbon Volunteer Fire Dept.,1330 Woodbine Road,Woodbine,21797,1,1,R18,16,W WATERSVILLE RD,[TaxMap 2 Parcel 10],RC-DEO,"(39.3632,-77.1059)",POINT (1282292.9404902458 617803.7965962831)
